device:  cpu
iter: 4380 loss: 0.48393794894218445, accy: 0.82
iter: 4390 loss: 0.6033468842506409, accy: 0.76
iter: 4400 loss: 0.3808448314666748, accy: 0.84
iter: 4410 loss: 0.5684113502502441, accy: 0.8
iter: 4420 loss: 0.4062108099460602, accy: 0.88
iter: 4430 loss: 0.49303269386291504, accy: 0.82
iter: 4440 loss: 0.6281523704528809, accy: 0.84
iter: 4450 loss: 0.5117080211639404, accy: 0.88
iter: 4460 loss: 0.5765609741210938, accy: 0.84
iter: 4470 loss: 0.35451096296310425, accy: 0.92
iter: 4480 loss: 0.7505108714103699, accy: 0.76
iter: 4490 loss: 0.5539125204086304, accy: 0.78
iter: 4500 loss: 0.4348374903202057, accy: 0.84
iter: 4510 loss: 0.5978466868400574, accy: 0.76
iter: 4520 loss: 0.8119768500328064, accy: 0.78
iter: 4530 loss: 0.5356967449188232, accy: 0.86
iter: 4540 loss: 0.41885626316070557, accy: 0.88
iter: 4550 loss: 0.2530224621295929, accy: 0.92
iter: 4560 loss: 0.3842810392379761, accy: 0.86
iter: 4570 loss: 0.438564658164978, accy: 0.88
iter: 4580 loss: 0.3682281970977783, accy: 0.92
iter: 4590 loss: 0.3720807135105133, accy: 0.92
iter: 4600 loss: 0.49797970056533813, accy: 0.86
iter: 4610 loss: 0.5999226570129395, accy: 0.8
iter: 4620 loss: 0.6090900301933289, accy: 0.82
iter: 4630 loss: 0.34389615058898926, accy: 0.92
iter: 4640 loss: 0.4751771092414856, accy: 0.8
iter: 4650 loss: 0.45130297541618347, accy: 0.82
iter: 4660 loss: 0.5027363896369934, accy: 0.76
iter: 4670 loss: 0.6348735690116882, accy: 0.76
iter: 4680 loss: 0.5093510746955872, accy: 0.88
iter: 4690 loss: 0.46075794100761414, accy: 0.86
iter: 4700 loss: 0.598014235496521, accy: 0.78
iter: 4710 loss: 0.4972396790981293, accy: 0.86
iter: 4720 loss: 0.5675011277198792, accy: 0.78
iter: 4730 loss: 0.669468104839325, accy: 0.76
iter: 4740 loss: 0.6491760015487671, accy: 0.8
iter: 4750 loss: 0.40629321336746216, accy: 0.84
iter: 4760 loss: 0.4772510528564453, accy: 0.8
iter: 4770 loss: 0.30430740118026733, accy: 0.9
iter: 4780 loss: 0.3940674662590027, accy: 0.9
iter: 4790 loss: 0.5603592991828918, accy: 0.86
iter: 4800 loss: 0.5230085253715515, accy: 0.84
iter: 4810 loss: 0.41169238090515137, accy: 0.84
iter: 4820 loss: 0.5181999206542969, accy: 0.84
iter: 4830 loss: 0.527536153793335, accy: 0.84
iter: 4840 loss: 0.7402597069740295, accy: 0.78
iter: 4850 loss: 0.7067707180976868, accy: 0.86
iter: 4860 loss: 0.46088600158691406, accy: 0.86
iter: 4870 loss: 0.4658588767051697, accy: 0.78
iter: 4880 loss: 0.41778072714805603, accy: 0.94
iter: 4890 loss: 0.4701455235481262, accy: 0.86
iter: 4900 loss: 0.3951011002063751, accy: 0.9
iter: 4910 loss: 0.45754873752593994, accy: 0.84
iter: 4920 loss: 0.8059395551681519, accy: 0.72
iter: 4930 loss: 0.5155397653579712, accy: 0.88
iter: 4940 loss: 0.7719646692276001, accy: 0.78
iter: 4950 loss: 0.5858232975006104, accy: 0.86
iter: 4960 loss: 0.5215458869934082, accy: 0.8
iter: 4970 loss: 0.5777391195297241, accy: 0.84
iter: 4980 loss: 0.5424586534500122, accy: 0.8
iter: 4990 loss: 0.4817732274532318, accy: 0.88
iter: 5000 loss: 0.6210764646530151, accy: 0.8
iter: 5010 loss: 0.48580124974250793, accy: 0.82
iter: 5020 loss: 0.4114305078983307, accy: 0.84
iter: 5030 loss: 0.5614156126976013, accy: 0.8
iter: 5040 loss: 0.2612285912036896, accy: 0.92
